,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,price,title,author,press,comment,content,btime
0,0,0,0,,人间惊鸿客：古代文人爆笑名场面,46.5,人间惊鸿客：古代文人爆笑名场面,王磊,中国友谊出版公司,5570.0,人间惊鸿客：古代文人爆笑名场面,2022-07-01
1,1,1,1,,钝感力,46.5,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，,渡边淳一,青岛出版社,529026.0,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，,2018-01-01
2,2,2,2,,蛤蟆先生去看心理医生,46.5,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知,罗伯特·戴博德,天津人民出版社,1326412.0,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知,2020-07-01
3,3,3,3,,活着,46.5,活着（余华代表作，精装，易烊千玺推荐阅读）,余华,北京十月文艺出版社,894446.0,活着（余华代表作，精装，易烊千玺推荐阅读）,2021-10-01
4,4,4,4,,生死疲劳,46.5,生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随,莫言,浙江文艺出版社,368213.0,生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随,2022-01-01
5,5,5,5,,四季的变化:科普认知绘本(全4册),46.5,四季的变化:科普认知绘本(全4册),谢茹,天地出版社,59266.0,四季的变化:科普认知绘本(全4册),2019-04-01
6,6,6,6,,陪孩子弯道超车,46.5,陪孩子弯道超车（给家长和孩子的逆袭指南）,吉田,北京联合出版有限公司,31609.0,陪孩子弯道超车（给家长和孩子的逆袭指南）,2022-07-01
7,7,7,7,,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,46.5,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,岸見一郎,机械工业出版社,823733.0,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,2020-03-05
8,8,8,8,,瓦尔登湖,46.5,瓦尔登湖（经典新读 中央编译出版社）,梭罗,中央编译出版社,30899.0,瓦尔登湖（经典新读 中央编译出版社）,2019-04-01
9,9,9,9,,苏东坡传,46.5,苏东坡传（林语堂纪念典藏精装版）,林语堂,湖南文艺出版社,826669.0,苏东坡传（林语堂纪念典藏精装版）,2018-01-01
10,10,10,10,,福尔摩斯探案集 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版,46.5,福尔摩斯探案集 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版,柯南,南方出版社,387912.0,福尔摩斯探案集 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版,2021-04-01
11,11,11,11,,少年读史记,46.5,少年读史记（套装全5册）,张嘉骅,青岛出版社,1255573.0,少年读史记（套装全5册）,2015-09-01
12,12,12,12,,果麦经典：了凡四训,46.5,果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和,袁了凡,三秦出版社,189960.0,果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和,2017-09-01
13,13,13,13,,心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读,46.5,心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读,季羡林,古吴轩出版社,406577.0,心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读,2020-08-01
14,14,14,14,,人生海海,46.5,人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，,麦家,北京十月文艺出版社,1083361.0,人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，,2019-04-16
15,15,15,15,,人生苦短，再来一碗,46.5,人生苦短，再来一碗（色香味俱全的美食散文集，可以下酒 佐餐 伴,丰子恺,花山文艺出版社,1483.0,人生苦短，再来一碗（色香味俱全的美食散文集，可以下酒 佐餐 伴,2022-01-01
16,16,16,16,,你当像鸟飞往你的山,46.5,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推,塔拉,南海出版公司,1411183.0,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推,2019-11-01
17,17,17,17,,暖房子·屁屁侦探系列,46.5,暖房子·屁屁侦探系列（套装共7册）,Troll,海豚出版社,149249.0,暖房子·屁屁侦探系列（套装共7册）,2020-07-01
18,18,18,18,,作家榜经典：月亮与六便士,46.5,作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻,毛姆,浙江文艺出版社,1419012.0,作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻,2017-01-10
19,19,19,19,,神奇校车·桥梁书版,46.5,神奇校车·桥梁书版（全20册）,乔安娜柯尔,贵州人民出版社,1402362.0,神奇校车·桥梁书版（全20册）,2014-04-01
20,20,20,20,,法治的细节,46.5,法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱,罗翔,云南人民出版社,219240.0,法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱,2021-11-01
21,21,21,21,,额尔古纳河右岸,46.5,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,迟子建,人民文学出版社,111295.0,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,2019-06-01
